step,epoch,time_s,loss,lr,grad_norm,vram_gb,peak_vram_gb,sec_per_step
10,1,134,0.078288,5.00e-06,0.1149,3.97,7.80,8.0
20,1,210,0.085426,1.00e-05,0.2969,3.97,7.80,7.8
30,1,285,0.118837,1.50e-05,0.2154,3.97,7.80,7.7
40,1,361,0.101669,2.00e-05,0.2072,3.97,7.80,7.7
50,1,437,0.075636,2.50e-05,0.1219,3.97,7.80,7.7
60,1,512,0.091110,3.00e-05,0.4436,3.97,7.80,7.6
70,1,588,0.096310,3.50e-05,0.1799,3.97,7.80,7.6
80,1,663,0.058197,4.00e-05,0.1144,3.97,7.80,7.6
90,1,739,0.081075,4.50e-05,0.1585,3.97,7.80,7.6
100,1,815,0.098283,5.00e-05,0.1618,3.97,7.80,7.6
110,1,891,0.096545,5.50e-05,0.1743,3.97,7.80,7.6
120,1,966,0.059737,6.00e-05,0.0957,3.97,7.80,7.6
