step,epoch,time_s,loss,lr,grad_norm,vram_gb,peak_vram_gb,sec_per_step
10,1,208,0.107704,5.00e-06,0.1820,4.00,9.18,15.8
20,1,396,0.094667,1.00e-05,0.1539,3.99,9.18,17.3
30,1,590,0.114687,1.50e-05,0.4708,4.00,9.18,18.0
40,1,760,0.096590,2.00e-05,0.7795,3.99,9.18,17.8
50,1,949,0.079348,2.50e-05,0.1229,4.00,9.18,18.0
60,1,1102,0.082685,3.00e-05,0.1315,3.99,9.18,17.5
70,1,1290,0.138236,3.50e-05,0.2745,4.00,9.18,17.7
80,1,1443,0.055470,4.00e-05,0.0721,3.99,9.18,17.4
90,1,1596,0.127644,4.50e-05,0.2531,4.00,9.18,17.2
100,1,1748,0.119051,5.00e-05,0.2174,3.99,9.18,17.0
110,1,1936,0.100092,5.50e-05,0.1458,3.99,9.18,17.2
120,1,2089,0.085980,6.00e-05,0.1261,3.99,9.18,17.0
