step,epoch,time_s,loss,lr,grad_norm,vram_gb,peak_vram_gb,sec_per_step
10,1,120,0.093777,5.00e-06,0.1289,4.25,7.80,7.9
20,1,197,0.083338,1.00e-05,0.2861,4.25,7.80,7.8
30,1,274,0.115252,1.50e-05,0.2464,4.25,7.80,7.8
40,1,351,0.097415,2.00e-05,0.2185,4.25,7.80,7.8
50,1,428,0.086351,2.50e-05,0.1858,4.25,7.80,7.7
60,1,505,0.096675,3.00e-05,0.3955,4.25,7.80,7.7
70,1,582,0.126284,3.50e-05,0.2366,4.25,7.80,7.7
80,1,659,0.058539,4.00e-05,0.1088,4.25,7.80,7.7
90,1,736,0.089002,4.50e-05,0.2699,4.25,7.80,7.7
100,1,812,0.078150,5.00e-05,0.1495,4.25,7.80,7.7
110,1,888,0.092448,5.50e-05,0.2023,4.25,7.80,7.7
120,1,964,0.078138,6.00e-05,0.1087,4.25,7.80,7.7
