step,epoch,time_s,loss,lr,grad_norm,vram_gb,peak_vram_gb,sec_per_step
10,1,123,0.078583,5.00e-06,0.1203,3.83,7.80,7.8
20,1,198,0.079812,1.00e-05,0.3127,3.83,7.80,7.7
30,1,273,0.119172,1.50e-05,0.2292,3.83,7.80,7.6
40,1,348,0.103699,2.00e-05,0.3185,3.83,7.80,7.6
50,1,424,0.078287,2.50e-05,0.1092,3.83,7.80,7.6
60,1,499,0.093342,3.00e-05,0.2746,3.83,7.80,7.6
70,1,574,0.105940,3.50e-05,0.1866,3.83,7.80,7.6
80,1,649,0.069314,4.00e-05,0.1140,3.83,7.80,7.6
90,1,725,0.083255,4.50e-05,0.1160,3.83,7.80,7.6
100,1,800,0.108215,5.00e-05,0.1507,3.83,7.80,7.6
110,1,875,0.106031,5.50e-05,0.5652,3.83,7.80,7.6
120,1,950,0.058861,6.00e-05,0.1047,3.83,7.80,7.6
130,1,1026,0.059286,6.50e-05,0.0928,3.83,7.80,7.6
140,1,1101,0.105908,7.00e-05,0.2556,3.83,7.80,7.6
150,1,1176,0.069570,7.50e-05,0.1350,3.83,7.80,7.5
160,1,1252,0.100005,8.00e-05,0.3105,3.83,7.80,7.5
170,1,1327,0.072185,8.50e-05,0.1498,3.83,7.80,7.5
180,1,1402,0.066276,9.00e-05,0.0772,3.83,7.80,7.5
190,1,1478,0.088033,9.50e-05,0.1223,3.83,7.80,7.5
200,1,1553,0.071171,1.00e-04,0.1566,3.83,7.80,7.5
210,1,1628,0.057991,9.99e-05,0.1060,3.83,7.80,7.5
220,1,1703,0.051930,9.97e-05,0.0820,3.83,7.80,7.5
230,1,1778,0.066435,9.94e-05,0.1341,3.83,7.80,7.5
240,1,1854,0.058362,9.89e-05,0.1113,3.83,7.80,7.5
250,1,1929,0.043044,9.83e-05,0.0501,3.83,7.80,7.5
260,1,2004,0.056103,9.76e-05,0.1403,3.83,7.80,7.5
270,1,2080,0.053542,9.67e-05,0.1257,3.83,7.80,7.5
280,1,2155,0.075888,9.57e-05,0.1432,3.83,7.80,7.5
290,1,2230,0.053829,9.46e-05,0.1251,3.83,7.80,7.5
300,1,2306,0.051795,9.33e-05,0.1206,3.83,7.80,7.5
310,1,2383,0.056420,9.19e-05,0.1153,3.83,7.80,7.5
320,1,2458,0.063001,9.05e-05,0.1908,3.83,7.80,7.5
330,1,2534,0.064576,8.89e-05,0.2574,3.83,7.80,7.5
340,1,2609,0.060011,8.72e-05,0.1572,3.83,7.80,7.5
350,1,2685,0.040116,8.54e-05,0.0693,3.83,7.80,7.5
360,1,2760,0.054470,8.35e-05,0.0919,3.83,7.80,7.5
370,1,2835,0.068020,8.15e-05,0.1532,3.83,7.80,7.5
380,1,2911,0.054404,7.94e-05,0.1035,3.83,7.80,7.5
390,1,2986,0.055391,7.72e-05,0.0917,3.83,7.80,7.5
400,1,3062,0.060531,7.50e-05,0.1318,3.83,7.80,7.5
