step,epoch,time_s,loss,lr,grad_norm,vram_gb,peak_vram_gb,sec_per_step
10,1,124,0.093967,5.00e-06,0.1386,3.97,7.80,7.8
20,1,199,0.096292,1.00e-05,0.2628,3.97,7.80,7.6
30,1,275,0.114658,1.50e-05,0.2242,3.97,7.80,7.6
40,1,349,0.104183,2.00e-05,0.1968,3.97,7.80,7.6
50,1,424,0.105183,2.50e-05,0.1582,3.97,7.80,7.6
60,1,499,0.117931,3.00e-05,0.3528,3.97,7.80,7.5
70,1,574,0.106409,3.50e-05,0.1468,3.97,7.80,7.5
80,1,649,0.064928,4.00e-05,0.0988,3.97,7.80,7.5
90,1,724,0.108719,4.50e-05,0.1368,3.97,7.80,7.5
100,1,799,0.087886,5.00e-05,0.1056,3.97,7.80,7.5
110,1,874,0.092119,5.50e-05,0.2587,3.97,7.80,7.5
120,1,949,0.067110,6.00e-05,0.1517,3.97,7.80,7.5
130,1,1023,0.067575,6.50e-05,0.0785,3.97,7.80,7.5
140,1,1098,0.097463,7.00e-05,0.3016,3.97,7.80,7.5
150,1,1173,0.067281,7.50e-05,0.1485,3.97,7.80,7.5
160,1,1248,0.115294,8.00e-05,0.2680,3.97,7.80,7.5
170,1,1323,0.088014,8.50e-05,0.1324,3.97,7.80,7.5
180,1,1398,0.058766,9.00e-05,0.1174,3.97,7.80,7.5
190,1,1473,0.082848,9.50e-05,0.3187,3.97,7.80,7.5
200,1,1548,0.078001,1.00e-04,0.1641,3.97,7.80,7.5
210,1,1623,0.063347,1.00e-04,0.0991,3.97,7.80,7.5
220,1,1697,0.087112,1.00e-04,0.0952,3.97,7.80,7.5
230,1,1772,0.069051,1.00e-04,0.1606,3.97,7.80,7.5
240,1,1847,0.057610,1.00e-04,0.1100,3.97,7.80,7.5
250,1,1922,0.052896,1.00e-04,0.0651,3.97,7.80,7.5
260,1,1997,0.081082,1.00e-04,0.1695,3.97,7.80,7.5
270,1,2072,0.058928,1.00e-04,0.1694,3.97,7.80,7.5
280,1,2147,0.065476,1.00e-04,0.1417,3.97,7.80,7.5
290,1,2223,0.063564,1.00e-04,0.1269,3.97,7.80,7.5
300,1,2298,0.058276,1.00e-04,0.1238,3.97,7.80,7.5
310,1,2373,0.067493,1.00e-04,0.0737,3.97,7.80,7.5
320,1,2448,0.083716,1.00e-04,0.2002,3.97,7.80,7.5
330,1,2523,0.082440,1.00e-04,0.1557,3.97,7.80,7.5
340,1,2598,0.068201,9.99e-05,0.1507,3.97,7.80,7.5
350,1,2673,0.051360,9.99e-05,0.1406,3.98,7.80,7.5
360,1,2748,0.060355,9.99e-05,0.1009,3.97,7.80,7.5
370,1,2823,0.058723,9.99e-05,0.1161,3.97,7.80,7.5
380,1,2898,0.064096,9.99e-05,0.1350,3.97,7.80,7.5
390,1,2973,0.050778,9.99e-05,0.0970,3.97,7.80,7.5
400,1,3048,0.077880,9.99e-05,0.1385,3.97,7.80,7.5
410,1,3123,0.063229,9.99e-05,0.1333,3.97,7.80,7.5
420,1,3198,0.063529,9.99e-05,0.1177,3.97,7.80,7.5
430,1,3273,0.048207,9.99e-05,0.0990,3.97,7.80,7.5
440,1,3349,0.048466,9.99e-05,0.1297,3.97,7.80,7.5
450,1,3424,0.063008,9.98e-05,0.0813,3.97,7.80,7.5
460,1,3499,0.050007,9.98e-05,0.0852,3.97,7.80,7.5
470,1,3574,0.063634,9.98e-05,0.1266,3.97,7.80,7.5
480,1,3649,0.048967,9.98e-05,0.0578,3.97,7.80,7.5
490,1,3724,0.054748,9.98e-05,0.1251,3.97,7.80,7.5
500,1,3799,0.061916,9.98e-05,0.0715,3.97,7.80,7.5
510,1,3874,0.057551,9.98e-05,0.0895,3.97,7.80,7.5
520,1,3949,0.050345,9.97e-05,0.0960,3.97,7.80,7.5
530,1,4025,0.046983,9.97e-05,0.0863,3.97,7.80,7.5
540,1,4100,0.062478,9.97e-05,0.0752,3.97,7.80,7.5
550,1,4175,0.070415,9.97e-05,0.0777,3.97,7.80,7.5
560,1,4250,0.049873,9.97e-05,0.0531,3.97,7.80,7.5
570,1,4325,0.081216,9.96e-05,0.0825,3.97,7.80,7.5
580,1,4400,0.074151,9.96e-05,0.1104,3.97,7.80,7.5
