step,epoch,time_s,loss,lr,grad_norm,vram_gb,peak_vram_gb,sec_per_step
10,1,123,0.093769,5.00e-06,0.1266,4.25,7.80,7.8
20,1,198,0.083330,1.00e-05,0.2864,4.25,7.80,7.7
30,1,274,0.115270,1.50e-05,0.2414,4.25,7.80,7.6
40,1,349,0.097393,2.00e-05,0.2162,4.25,7.80,7.6
50,1,425,0.086309,2.50e-05,0.1777,4.25,7.80,7.6
60,1,500,0.096751,3.00e-05,0.3999,4.25,7.80,7.6
70,1,575,0.126407,3.50e-05,0.2357,4.25,7.80,7.6
80,1,650,0.058531,4.00e-05,0.1007,4.25,7.80,7.6
90,1,726,0.088942,4.50e-05,0.2834,4.25,7.80,7.6
100,1,801,0.078181,5.00e-05,0.1464,4.25,7.80,7.6
110,1,876,0.092890,5.50e-05,0.2651,4.25,7.80,7.6
120,1,951,0.078232,6.00e-05,0.1179,4.25,7.80,7.6
130,1,1026,0.047000,6.50e-05,0.0826,4.25,7.80,7.6
140,1,1102,0.096077,7.00e-05,0.1994,4.25,7.80,7.6
150,1,1177,0.068033,7.50e-05,0.1425,4.25,7.80,7.5
160,1,1252,0.107805,8.00e-05,0.2186,4.25,7.80,7.5
170,1,1327,0.080917,8.50e-05,0.1378,4.25,7.80,7.5
180,1,1402,0.047921,9.00e-05,0.0878,4.25,7.80,7.5
190,1,1478,0.079710,9.50e-05,0.1195,4.25,7.80,7.5
200,1,1553,0.065325,1.00e-04,0.1400,4.25,7.80,7.5
210,1,1628,0.048028,1.00e-04,0.0907,4.25,7.80,7.5
220,1,1703,0.047971,1.00e-04,0.0844,4.25,7.80,7.5
230,1,1778,0.072177,1.00e-04,0.1787,4.25,7.80,7.5
240,1,1856,0.054115,1.00e-04,0.0950,4.25,7.80,7.5
250,1,1931,0.040526,1.00e-04,0.0610,4.25,7.80,7.5
260,1,2006,0.065807,1.00e-04,0.1455,4.25,7.80,7.5
270,1,2081,0.058749,1.00e-04,0.2370,4.25,7.80,7.5
280,1,2156,0.063302,1.00e-04,0.1469,4.25,7.80,7.5
290,1,2232,0.053611,1.00e-04,0.1335,4.25,7.80,7.5
300,1,2307,0.054312,1.00e-04,0.1716,4.25,7.80,7.5
310,1,2382,0.049093,1.00e-04,0.0784,4.25,7.80,7.5
320,1,2457,0.073279,1.00e-04,0.2700,4.25,7.80,7.5
330,1,2533,0.057052,1.00e-04,0.1369,4.25,7.80,7.5
340,1,2608,0.055386,9.99e-05,0.1203,4.25,7.80,7.5
350,1,2683,0.041299,9.99e-05,0.0559,4.25,7.80,7.5
360,1,2758,0.040376,9.99e-05,0.0890,4.25,7.80,7.5
370,1,2833,0.046227,9.99e-05,0.0953,4.25,7.80,7.5
380,1,2909,0.062321,9.99e-05,0.1175,4.25,7.80,7.5
390,1,2984,0.054156,9.99e-05,0.0942,4.25,7.80,7.5
400,1,3059,0.065256,9.99e-05,0.1074,4.25,7.80,7.5
410,1,3134,0.052661,9.99e-05,0.1207,4.25,7.80,7.5
420,1,3209,0.051009,9.99e-05,0.1001,4.25,7.80,7.5
