step,epoch,time_s,loss,lr,grad_norm,vram_gb,peak_vram_gb,sec_per_step
10,1,131,0.114593,5.00e-06,0.3529,3.97,7.80,7.9
20,1,208,0.129466,1.00e-05,0.6289,3.97,7.80,7.8
30,1,284,0.187919,1.50e-05,0.5922,3.97,7.80,7.7
40,1,360,0.155309,2.00e-05,0.5029,3.97,7.80,7.7
50,1,438,0.108173,2.50e-05,0.3158,3.97,7.80,7.7
60,1,514,0.119507,3.00e-05,0.4927,3.97,7.80,7.7
70,1,591,0.120016,3.50e-05,0.2996,3.97,7.80,7.7
80,1,667,0.068615,4.00e-05,0.1269,3.97,7.80,7.7
90,1,746,0.092756,4.50e-05,0.1857,3.97,7.80,7.7
100,1,822,0.112668,5.00e-05,0.1557,3.97,7.80,7.7
110,1,899,0.105367,5.50e-05,0.3126,3.97,7.80,7.7
120,1,976,0.064874,6.00e-05,0.0812,3.97,7.80,7.7
130,1,1053,0.049823,6.50e-05,0.0734,3.97,7.80,7.7
140,1,1131,0.090704,7.00e-05,0.1969,3.97,7.80,7.7
150,1,1208,0.070879,7.50e-05,0.0805,3.97,7.80,7.7
160,1,1314,0.094934,8.00e-05,0.1499,3.97,7.80,7.9
170,1,1426,0.073551,8.50e-05,0.0943,3.97,7.80,8.1
180,1,1503,0.055187,9.00e-05,0.0658,3.97,7.80,8.1
190,1,1579,0.072746,9.50e-05,0.0970,3.97,7.80,8.0
200,1,1656,0.058133,1.00e-04,0.0826,3.97,7.80,8.0
210,1,1733,0.051815,1.00e-04,0.0728,3.97,7.80,8.0
220,1,1810,0.050289,1.00e-04,0.0634,3.97,7.80,8.0
230,1,1886,0.080092,1.00e-04,0.1408,3.97,7.80,8.0
240,1,2000,0.051058,1.00e-04,0.0781,3.97,7.80,8.1
250,1,2077,0.041843,1.00e-04,0.0407,3.97,7.80,8.1
260,1,2155,0.059486,1.00e-04,0.0826,3.97,7.80,8.1
270,1,2232,0.056490,1.00e-04,0.0871,3.97,7.80,8.1
280,1,2309,0.065945,1.00e-04,0.0992,3.97,7.80,8.1
290,1,2386,0.058449,1.00e-04,0.0996,3.97,7.80,8.0
300,1,2464,0.063602,1.00e-04,0.0912,3.97,7.80,8.0
310,1,2541,0.063821,1.00e-04,0.0736,3.97,7.80,8.0
320,1,2618,0.081944,1.00e-04,0.1400,3.97,7.80,8.0
330,1,2695,0.057407,1.00e-04,0.1127,3.97,7.80,8.0
340,1,2772,0.054605,9.99e-05,0.0924,3.97,7.80,8.0
350,1,2849,0.034084,9.99e-05,0.0360,3.98,7.80,8.0
360,1,2931,0.058206,9.99e-05,0.1076,3.97,7.80,8.0
370,1,3008,0.048586,9.99e-05,0.1192,3.97,7.80,8.0
380,1,3094,0.050103,9.99e-05,0.0740,3.97,7.80,8.0
390,1,3171,0.059637,9.99e-05,0.0873,3.97,7.80,8.0
400,1,3248,0.057441,9.99e-05,0.0877,3.97,7.80,8.0
410,1,3324,0.049703,9.99e-05,0.0775,3.97,7.80,8.0
420,1,3401,0.052350,9.99e-05,0.1013,3.97,7.80,8.0
430,1,3478,0.061083,9.99e-05,0.0841,3.97,7.80,8.0
440,1,3556,0.059481,9.99e-05,0.0931,3.97,7.80,8.0
450,1,3632,0.062773,9.98e-05,0.0593,3.97,7.80,8.0
460,1,3707,0.054972,9.98e-05,0.0603,3.97,7.80,7.9
470,1,3783,0.043343,9.98e-05,0.0789,3.97,7.80,7.9
480,1,3858,0.035972,9.98e-05,0.0373,3.97,7.80,7.9
490,1,3934,0.046447,9.98e-05,0.0744,3.97,7.80,7.9
500,1,4009,0.043475,9.98e-05,0.0485,3.97,7.80,7.9
510,1,4085,0.041039,9.98e-05,0.0406,3.97,7.80,7.9
520,1,4161,0.057873,9.97e-05,0.0741,3.97,7.80,7.9
530,1,4236,0.046666,9.97e-05,0.0497,3.97,7.80,7.9
540,1,4312,0.043939,9.97e-05,0.0437,3.97,7.80,7.9
550,1,4387,0.046294,9.97e-05,0.0427,3.97,7.80,7.9
560,1,4463,0.039602,9.97e-05,0.0403,3.97,7.80,7.9
570,1,4538,0.041356,9.96e-05,0.1078,3.97,7.80,7.9
580,1,4615,0.049508,9.96e-05,0.0965,3.97,7.80,7.9
590,1,4691,0.071320,9.96e-05,0.2158,3.97,7.80,7.9
600,1,4766,0.038822,9.96e-05,0.0567,3.97,7.80,7.9
610,1,4842,0.046440,9.96e-05,0.0532,3.97,7.80,7.9
620,1,4917,0.067617,9.95e-05,0.1215,3.97,7.80,7.8
630,1,4993,0.047327,9.95e-05,0.0775,3.97,7.80,7.8
640,1,5068,0.048640,9.95e-05,0.0713,3.97,7.80,7.8
650,1,5144,0.043955,9.95e-05,0.0584,3.97,7.80,7.8
