step,epoch,time_s,loss,lr,grad_norm,vram_gb,peak_vram_gb,sec_per_step
4010,1,220,0.033946,6.71e-05,0.0361,9.01,15.58,0.0
4020,1,359,0.042334,6.70e-05,0.1142,9.01,15.58,0.1
4030,1,500,0.029460,6.68e-05,0.0440,9.01,15.58,0.1
4040,1,641,0.039733,6.67e-05,0.0547,9.01,15.58,0.1
4050,1,782,0.035622,6.65e-05,0.0621,9.01,15.58,0.2
4060,1,924,0.036178,6.64e-05,0.0690,9.01,15.58,0.2
4070,1,1065,0.030809,6.62e-05,0.0564,9.01,15.58,0.2
4080,1,1206,0.053358,6.61e-05,0.0371,9.01,15.58,0.3
4090,1,1348,0.029413,6.59e-05,0.0406,9.01,15.58,0.3
4100,1,1490,0.043752,6.58e-05,0.0507,9.01,15.58,0.3
4110,1,1635,0.040494,6.56e-05,0.1872,9.01,15.58,0.4
4120,1,1780,0.032945,6.55e-05,0.0398,9.01,15.58,0.4
4130,1,1924,0.026388,6.53e-05,0.0270,9.01,15.58,0.4
4140,1,2068,0.054539,6.51e-05,0.1726,9.01,15.58,0.5
4150,1,2221,0.041170,6.50e-05,0.0425,9.01,15.58,0.5
4160,1,2367,0.042801,6.48e-05,0.0833,9.01,15.58,0.6
4170,1,2524,0.037565,6.47e-05,0.0524,9.01,15.58,0.6
4180,1,2680,0.032620,6.45e-05,0.0316,9.01,15.58,0.6
4190,1,2826,0.039393,6.44e-05,0.0449,9.01,15.58,0.7
4200,1,2971,0.053305,6.42e-05,0.1147,9.01,15.58,0.7
4210,1,3123,0.041736,6.41e-05,0.0351,9.01,15.58,0.7
4220,1,3275,0.025852,6.39e-05,0.0299,9.01,15.58,0.8
4230,1,3423,0.039893,6.38e-05,0.0545,9.01,15.58,0.8
4240,1,3571,0.031670,6.36e-05,0.0313,9.01,15.58,0.8
4250,1,3720,0.022203,6.35e-05,0.0195,9.01,15.58,0.9
4260,1,3869,0.046973,6.33e-05,0.0445,9.01,15.58,0.9
4270,1,4019,0.034992,6.31e-05,0.0373,9.01,15.58,0.9
4280,1,4163,0.041047,6.30e-05,0.0571,9.01,15.58,1.0
4290,1,4309,0.048931,6.28e-05,0.0541,9.01,15.58,1.0
4300,1,4459,0.049006,6.27e-05,0.0446,9.01,15.58,1.0
4310,1,4604,0.044773,6.25e-05,0.0344,9.01,15.58,1.1
4320,1,4777,0.036026,6.24e-05,0.0589,9.01,15.58,1.1
4330,1,4935,0.039350,6.22e-05,0.0486,9.01,15.58,1.1
4340,1,5111,0.033065,6.21e-05,0.0469,9.01,15.58,1.2
4350,1,5277,0.036907,6.19e-05,0.0351,9.01,15.58,1.2
4360,1,5444,0.028554,6.18e-05,0.0579,9.01,15.58,1.2
4370,1,5629,0.031089,6.16e-05,0.0353,9.01,15.58,1.3
4380,1,5799,0.043016,6.14e-05,0.0322,9.01,15.58,1.3
4390,1,5981,0.031853,6.13e-05,0.0410,9.01,15.58,1.3
4400,1,6151,0.035467,6.11e-05,0.0406,9.01,15.58,1.4
4410,1,6426,0.032926,6.10e-05,0.0251,9.01,15.58,1.4
4420,1,6795,0.041010,6.08e-05,0.0327,9.01,15.58,1.5
4430,1,7039,0.033658,6.07e-05,0.0372,9.01,15.58,1.6
4440,1,7389,0.033903,6.05e-05,0.0586,9.01,15.58,1.6
4450,1,7721,0.036928,6.03e-05,0.0320,9.01,15.58,1.7
4460,1,8072,0.033896,6.02e-05,0.0654,9.01,15.58,1.8
4470,1,8386,0.035663,6.00e-05,0.0766,9.01,15.58,1.9
4480,1,8525,0.031618,5.99e-05,0.0265,9.01,15.58,1.9
4490,1,8664,0.037181,5.97e-05,0.0450,9.01,15.58,1.9
4500,1,8804,0.027856,5.96e-05,0.0304,9.01,15.58,1.9
4510,1,8944,0.026976,5.94e-05,0.0344,9.01,15.58,2.0
4520,1,9083,0.031916,5.92e-05,0.0475,9.01,15.58,2.0
4530,1,9223,0.032562,5.91e-05,0.0455,9.01,15.58,2.0
4540,1,9362,0.044826,5.89e-05,0.0597,9.01,15.58,2.0
4550,1,9502,0.036434,5.88e-05,0.0519,9.01,15.58,2.1
4560,1,9641,0.028659,5.86e-05,0.0279,9.01,15.58,2.1
4570,1,9781,0.039905,5.85e-05,0.0431,9.01,15.58,2.1
4580,1,9920,0.036226,5.83e-05,0.0421,9.01,15.58,2.1
4590,1,10059,0.040121,5.81e-05,0.0586,9.01,15.58,2.2
4600,1,10199,0.032152,5.80e-05,0.0335,9.01,15.58,2.2
4610,1,10339,0.030543,5.78e-05,0.0340,9.01,15.58,2.2
4620,1,10478,0.048205,5.77e-05,0.0630,9.01,15.58,2.3
4630,1,10618,0.037834,5.75e-05,0.0354,9.01,15.58,2.3
